step,epoch_mean_loss,valid_slot_f1,valid_intent_acc
280,1.3216629131564073,62.01550387596899,83.6
560,0.39719272521989685,81.40411952422396,88.6
840,0.22936388864847165,88.25581395348836,91.60000000000001
1120,0.15759532037856325,92.11521675880128,93.4
1400,0.12090921204404108,93.25547445255475,95.6
1680,0.09679654762814087,94.30989203384885,95.6
1960,0.08001006205034043,95.03214494447691,95.19999999999999
2240,0.07063861369388177,96.10541727672035,96.0
2520,0.06158853694463947,95.67757009345794,96.2
2800,0.05425047493273658,96.0932944606414,96.2
3080,0.04919942314570237,96.4327485380117,97.0
3360,0.04621188749941731,96.81193331383444,96.0
3640,0.04110312159256344,97.15959004392387,96.8
3920,0.037798909767713794,97.1629131324949,96.0
4200,0.03587507356590192,97.19133996489175,96.8
4480,0.0348480426178347,97.25467289719624,96.8
4760,0.03355586402405086,97.39537606087211,97.39999999999999
5040,0.028551164567969474,97.22303420052616,97.0
5320,0.029228571910477643,97.39537606087211,97.39999999999999
5600,0.028751172840670084,97.3115137346581,97.39999999999999
